Date,beta0,beta1,beta2,lambda
2015-04-08,3.1442676729160293,-2.7269802397031224,-0.004453113140395534,0.15940755256338499
2015-04-09,0.0,0.41937622798817104,8.002010695403959,0.05596343640035973
2015-04-10,0.0,0.4193692655383068,7.889189918278517,0.057387647178848984
2015-04-13,0.0,0.42315978737327836,7.911029714974979,0.055335408356214394
2015-04-14,2.6114626371485006,-1.630760888134027,-5.282064278549079,1.120089964674515
2015-04-15,2.623643289678613,-1.6391375258636733,-5.363967191033561,1.1196195402248925
2015-04-16,2.6431248076300706,-1.662066360217805,-5.404696393299222,1.0857243947006052
2015-04-17,2.5728731641002605,-1.5840442575541291,-5.308161613454906,1.132252148801757
2015-04-20,3.232264327780633,-2.8073933569000027,-0.015726669930281177,0.1494571689192691
2015-04-21,0.0,0.4199399211807299,7.94810859446732,0.05343978572199062
2015-04-22,0.0,0.41623057617078707,8.205684241586841,0.05565178837361141
2015-04-23,0.0,0.41580237247078194,8.123399592421384,0.053858338105723415
2015-04-24,0.0,0.42198311693098484,8.104606393445666,0.05193807957772395
2015-04-27,0.0,0.41653047174963514,8.05467574641445,0.05366851044546333
2015-04-28,0.16079910259482433,0.25009564726304684,8.032639268580509,0.05534136124458156
2015-04-29,0.0,0.3983518532215632,8.547094483514016,0.055902328133494446
2015-04-30,0.0,0.3998549565570744,8.520255886100454,0.05586755020734514
2015-05-01,0.4628161322258713,-0.0652416825058529,7.958341523555225,0.0608626834490503
2015-05-04,0.0,0.40370091419691856,8.940758730280152,0.05746852486263451
2015-05-05,0.0,0.4018590148543046,8.994248101178549,0.05880180325603745
2015-05-06,0.4442653025383437,-0.040698052361251534,8.485374593038204,0.061908370727628316
2015-05-07,0.0,0.40516301453070735,8.96734108485259,0.059154977705567144
2015-05-08,0.0,0.3984568057236391,9.018706951481402,0.05664267550343931
2015-05-11,0.0,0.3993291407411058,9.43767504187026,0.05872791964477776
2015-05-12,0.0,0.39679108918449196,9.411989495025054,0.05870780544186564
2015-05-13,0.0,0.3924682963660284,9.607845978407324,0.05665472599207844
2015-05-14,0.1232539347374428,0.25511634289800555,9.336326138145685,0.05566012679936701
2015-05-15,0.32361136831347126,0.06538417264883047,8.712631565296885,0.05493937271028268
2015-05-18,0.0,0.3875987761506133,9.466719395161888,0.056047279041956666
2015-05-19,0.0,0.3912922050549282,9.532293973468464,0.058449362073220476
2015-05-20,0.0,0.3903553104233081,9.587131990473704,0.056625487981276895
2015-05-21,0.0,0.39281489543943804,9.31836796399265,0.055792805151043214
2015-05-22,0.6880696035021948,-0.29461145912423187,8.109025898551316,0.062338814261321575
2015-05-26,0.0,0.4083099224474557,8.965317976929843,0.057608546298029986
2015-05-27,0.0,0.416847890790308,8.914683943362535,0.05765899841060016
2015-05-28,0.41013249057308,-0.002202205274912907,8.276106592866347,0.058773025496052296
2015-05-29,0.0,0.4035466229490659,8.974134460017673,0.05564480954127907
2015-06-01,0.0,0.40780192996598896,9.142286401645366,0.05768888533941706
2015-06-02,0.04995599074245243,0.3501031517966326,9.342732863271312,0.05936844939661418
2015-06-03,0.0,0.3950348598552184,9.721560613967272,0.06238192943093367
2015-06-04,0.0,0.40219873130159095,9.429625018906021,0.061299389633349896
2015-06-05,0.13356906380738148,0.27319829880453955,9.452103912511241,0.06567499885362124
2015-06-08,0.0,0.39813897912440205,9.696816843744456,0.06333944660407674
2015-06-09,0.1231295775024543,0.2737441956679068,9.602423648890504,0.06459363127356772
2015-06-10,0.3915136520003676,0.005841067191491323,9.359992332603886,0.0676636296888819
2015-06-11,0.7438214891181739,-0.3411520990165103,8.319721054905077,0.06932482621237358
2015-06-12,0.7095837296531783,-0.3048790643980047,8.354856278539943,0.06969472585593714
2015-06-15,0.20212334217234978,0.20353391500751786,9.242990477259092,0.06428328694970235
2015-06-16,0.24269165134285395,0.1639935010025856,9.05940700396472,0.0634684626881585
